"Time [s]";"Beat Sys [mmHg]";"Beat Mean [mmHg]";"Beat Dia [mmHg]";"Beat HR [bpm]";"NBP Sys [mmHg]";"NBP Dia [mmHg]";"Event";"Height Offset [cm]";
21.22;;;;;;;"Optimize Signal Quality";;
33.22;;;;;;;"Optimize Signal Quality";;
43.22;;;;;;;"Optimize Signal Quality";;
49.06;103;86;80;60;;;;;
50.05;103;86;80;60;;;;;
51.08;103;86;80;60;;;;;
52.08;103;86;80;60;;;;;
53.07;103;86;80;60;;;;;
54.13;107;91;84;59;;;;;
60.72;76;76;76;-0;;;;;
68.22;76;76;76;-0;;;;;
75.72;77;77;77;-0;;;;;
83.22;84;84;84;-0;;;;;
87.31;91;83;80;62;;;;;
88.26;91;83;80;62;;;;;
89.23;91;83;80;62;;;;;
90.14;91;83;80;62;;;;;
91.06;91;83;80;62;;;;;
92.02;105;91;86;63;;;;;
92.96;105;91;86;63;;;;;
93.89;105;91;86;63;;;;;
94.88;105;91;86;63;;;;;
95.83;105;91;86;63;;;;;
96.83;110;92;86;62;;;;;
97.81;110;92;86;62;;;;;
98.75;110;92;86;62;;;;;
99.71;110;92;86;62;;;;;
100.66;110;92;86;62;;;;;
101.56;103;86;80;64;;;;;
101.83;;;;;103;63;"internal";;
102.49;103;86;80;64;;;;;
103.43;103;86;80;64;;;;;
104.34;103;86;80;64;;;;;
105.31;103;86;80;64;;;;;
106.30;104;86;80;63;;;;;
107.22;104;86;80;63;;;;;
108.23;104;86;80;63;;;;;
109.19;104;86;80;63;;;;;
110.14;104;86;80;63;;;;;
111.11;106;87;80;62;;;;;
112.09;106;87;80;62;;;;;
112.22;;;;;;;"Optimize Signal Quality";;
113.06;106;87;80;62;;;;;
114.00;106;87;80;62;;;;;
114.98;106;87;80;62;;;;;
115.92;106;87;80;63;;;;;
116.90;106;87;80;63;;;;;
117.87;106;87;80;63;;;;;
118.89;106;87;80;63;;;;;
119.83;106;87;80;63;;;;;
120.79;99;81;73;63;;;;;
121.77;99;81;73;63;;;;;
122.76;99;81;73;63;;;;;
123.64;99;81;73;63;;;;;
124.53;99;81;73;63;;;;;
124.98;;;;;;;"NBPcal";;
125.46;105;77;64;65;;;;;
126.42;105;77;64;65;;;;;
127.39;105;77;64;65;;;;;
128.35;105;77;64;65;;;;;
129.34;105;77;64;65;;;;;
130.30;104;76;64;62;;;;;
131.31;104;76;64;62;;;;;
132.28;104;76;64;62;;;;;
133.27;104;76;64;62;;;;;
134.22;104;76;64;62;;;;;
135.16;100;74;64;62;;;;;
136.13;100;74;64;62;;;;;
137.09;100;74;64;62;;;;;
138.05;100;74;64;62;;;;;
139.03;100;74;64;62;;;;;
139.96;97;75;65;62;;;;;
140.96;97;75;65;62;;;;;
141.96;97;75;65;62;;;;;
142.95;97;75;65;62;;;;;
143.98;97;75;65;62;;;;;
144.99;100;75;65;60;;;;;
146.01;100;75;65;60;;;;;
147.00;100;75;65;60;;;;;
147.93;100;75;65;60;;;;;
148.90;100;75;65;60;;;;;
149.93;100;76;65;61;;;;;
150.95;100;76;65;61;;;;;
151.89;100;76;65;61;;;;;
152.86;100;76;65;61;;;;;
153.22;;;;;;;"Optimize Signal Quality";;
153.90;100;76;65;61;;;;;
154.88;100;76;65;61;;;;;
155.83;100;76;65;61;;;;;
156.82;100;76;65;61;;;;;
157.79;100;76;65;61;;;;;
158.74;98;75;65;61;;;;;
159.75;99;75;62;61;;;;;
160.74;99;75;62;61;;;;;
161.71;99;75;62;61;;;;;
162.71;99;75;62;61;;;;;
163.66;99;75;62;61;;;;;
164.62;97;73;61;62;;;;;
165.60;97;73;61;62;;;;;
166.59;97;73;61;62;;;;;
167.54;97;73;61;62;;;;;
168.52;97;73;61;62;;;;;
169.55;96;73;60;60;;;;;
170.52;96;73;60;60;;;;;
171.48;96;73;60;60;;;;;
172.46;96;73;60;60;;;;;
173.46;96;73;60;60;;;;;
174.39;95;72;59;62;;;;;
175.31;95;72;59;62;;;;;
176.25;95;72;59;62;;;;;
177.18;95;72;59;62;;;;;
178.07;95;72;59;62;;;;;
178.98;93;68;55;66;;;;;
179.84;93;68;55;66;;;;;
180.71;93;68;55;66;;;;;
181.55;93;68;55;66;;;;;
182.41;93;68;55;66;;;;;
183.29;93;67;56;69;;;;;
184.15;93;67;56;69;;;;;
185.07;93;67;56;69;;;;;
185.95;93;67;56;69;;;;;
186.86;93;67;56;69;;;;;
187.76;89;65;53;67;;;;;
188.70;89;65;53;67;;;;;
189.60;89;65;53;67;;;;;
190.49;89;65;53;67;;;;;
191.39;89;65;53;67;;;;;
192.30;89;65;54;66;;;;;
193.20;89;65;54;66;;;;;
194.14;89;65;54;66;;;;;
195.06;89;65;54;66;;;;;
195.96;89;65;54;66;;;;;
196.90;88;64;52;66;;;;;
197.78;88;64;52;66;;;;;
198.69;88;64;52;66;;;;;
199.59;88;64;52;66;;;;;
200.48;88;64;52;66;;;;;
201.34;85;62;51;67;;;;;
202.23;85;62;51;67;;;;;
203.15;85;62;51;67;;;;;
203.22;;;;;;;"Optimize Signal Quality";;
204.00;85;62;51;67;;;;;
204.87;85;62;51;67;;;;;
205.77;85;62;51;67;;;;;
206.68;85;62;51;67;;;;;
207.58;85;62;51;67;;;;;
208.53;85;62;51;67;;;;;
209.45;84;61;50;67;;;;;
210.40;88;64;52;67;;;;;
211.36;88;64;52;67;;;;;
212.28;88;64;52;67;;;;;
213.23;88;64;52;67;;;;;
214.13;88;64;52;67;;;;;
215.08;88;64;53;64;;;;;
215.98;88;64;53;64;;;;;
216.87;88;64;53;64;;;;;
217.79;88;64;53;64;;;;;
218.67;88;64;53;64;;;;;
219.56;85;64;54;67;;;;;
220.47;85;64;54;67;;;;;
221.35;85;64;54;67;;;;;
222.20;85;64;54;67;;;;;
223.07;85;64;54;67;;;;;
223.97;88;67;56;68;;;;;
224.82;88;67;56;68;;;;;
225.69;88;67;56;68;;;;;
226.59;88;67;56;68;;;;;
227.46;88;67;56;68;;;;;
228.37;90;67;56;68;;;;;
229.26;90;67;56;68;;;;;
230.18;90;67;56;68;;;;;
231.04;90;67;56;68;;;;;
231.94;90;67;56;68;;;;;
232.88;90;66;56;66;;;;;
233.74;90;66;56;66;;;;;
234.64;90;66;56;66;;;;;
235.52;90;66;56;66;;;;;
236.39;90;66;56;66;;;;;
237.24;93;69;58;69;;;;;
238.12;93;69;58;69;;;;;
239.06;93;69;58;69;;;;;
239.94;93;69;58;69;;;;;
240.91;93;69;58;69;;;;;
241.88;97;75;63;64;;;;;
242.80;97;75;63;64;;;;;
243.70;97;75;63;64;;;;;
244.66;97;75;63;64;;;;;
245.55;97;75;63;64;;;;;
246.45;97;74;61;65;;;;;
247.39;97;74;61;65;;;;;
248.32;97;74;61;65;;;;;
249.26;97;74;61;65;;;;;
250.13;97;74;61;65;;;;;
251.06;95;70;58;66;;;;;
251.91;95;70;58;66;;;;;
252.79;95;70;58;66;;;;;
253.71;95;70;58;66;;;;;
254.63;95;70;58;66;;;;;
255.53;96;68;56;67;;;;;
256.35;96;68;56;67;;;;;
257.26;96;68;56;67;;;;;
258.19;96;68;56;67;;;;;
259.08;96;68;56;67;;;;;
260.02;95;67;55;66;;;;;
260.95;95;67;55;66;;;;;
261.93;95;67;55;66;;;;;
262.83;95;67;55;66;;;;;
263.72;95;67;55;66;;;;;
264.65;92;66;54;65;;;;;
265.62;92;66;54;65;;;;;
266.58;92;66;54;65;;;;;
267.55;92;66;54;65;;;;;
268.57;92;66;54;65;;;;;
269.51;89;64;53;62;;;;;
270.48;89;64;53;62;;;;;
271.43;89;64;53;62;;;"Optimize Signal Quality";;
272.45;89;64;53;62;;;;;
273.42;89;64;53;62;;;;;
274.38;89;64;53;62;;;;;
275.34;89;64;53;62;;;;;
276.27;89;64;53;62;;;;;
277.20;89;64;53;62;;;;;
278.12;89;64;53;62;;;;;
279.05;88;66;53;63;;;;;
279.91;88;66;53;63;;;;;
280.83;88;66;53;63;;;;;
281.80;88;66;53;63;;;;;
282.71;88;66;53;63;;;;;
283.66;87;66;52;64;;;;;
284.64;87;66;52;64;;;;;
285.60;87;66;52;64;;;;;
286.57;87;66;52;64;;;;;
287.57;87;66;52;64;;;;;
288.48;86;64;50;63;;;;;
289.43;86;64;50;63;;;;;
290.39;86;64;50;63;;;;;
291.29;86;64;50;63;;;;;
292.26;86;64;50;63;;;;;
293.20;86;64;51;63;;;;;
294.11;86;64;51;63;;;;;
295.07;86;64;51;63;;;;;
296.05;86;64;51;63;;;;;
296.99;86;64;51;63;;;;;
297.93;86;64;51;63;;;;;
298.89;86;64;51;63;;;;;
299.83;86;64;51;63;;;;;
300.76;86;64;51;63;;;;;
301.75;86;64;51;63;;;;;
302.70;87;66;54;62;;;;;
303.69;87;66;54;62;;;;;
304.63;87;66;54;62;;;;;
305.57;87;66;54;62;;;;;
306.45;87;66;54;62;;;;;
307.36;90;69;56;65;;;;;
308.29;90;69;56;65;;;;;
309.17;90;69;56;65;;;;;
310.13;90;69;56;65;;;;;
311.07;90;69;56;65;;;;;
311.99;91;71;60;65;;;;;
312.92;91;71;60;65;;;;;
313.94;91;71;60;65;;;;;
314.86;91;71;60;65;;;;;
315.81;91;71;60;65;;;;;
316.79;92;69;56;63;;;;;
317.67;92;69;56;63;;;;;
318.58;92;69;56;63;;;;;
319.50;92;69;56;63;;;;;
320.34;92;69;56;63;;;;;
321.25;93;71;59;67;;;;;
322.13;93;71;59;67;;;;;
322.86;;;;;;;"Custom1";;
322.99;93;71;59;67;;;;;
323.86;93;71;59;67;;;;;
324.75;93;71;59;67;;;;;
325.59;92;71;59;69;;;;;
326.47;92;71;59;69;;;;;
327.40;92;71;59;69;;;;;
328.23;92;71;59;69;;;;;
329.09;92;71;59;69;;;;;
329.97;92;70;58;70;;;;;
330.78;92;70;58;70;;;;;
331.60;92;70;58;70;;;;;
332.44;92;70;58;70;;;;;
333.26;92;70;58;70;;;;;
334.07;92;71;59;73;;;;;
334.91;92;71;59;73;;;;;
335.77;92;71;59;73;;;;;
336.60;92;71;59;73;;;;;
337.45;92;71;59;73;;;;;
338.28;92;71;59;71;;;;;
339.15;92;71;59;71;;;;;
339.98;92;71;59;71;;;;;
340.81;92;71;59;71;;;;;
341.67;92;71;59;71;;;;;
342.53;91;72;61;71;;;;;
343.34;91;72;61;71;;;;;
344.22;91;72;61;71;;;;;
345.09;91;72;61;71;;;;;
345.96;91;72;61;71;;;;;
346.82;92;72;61;70;;;;;
347.68;92;72;61;70;;;;;
348.53;92;72;61;70;;;;;
349.32;92;72;61;70;;;;;
350.19;92;72;61;70;;;;;
351.10;93;75;64;69;;;;;
351.95;93;75;64;69;;;;;
352.78;93;75;64;69;;;;;
353.66;93;75;64;69;;;;;
354.54;93;75;64;69;;;;;
355.42;93;73;62;69;;;;;
356.24;93;73;62;69;;;;;
357.12;93;73;62;69;;;;;
358.00;93;73;62;69;;;;;
358.81;93;73;62;69;;;;;
359.70;93;72;61;70;;;;;
360.58;93;72;61;70;;;;;
361.46;93;72;61;70;;;;;
362.30;93;72;61;70;;;;;
363.18;93;72;61;70;;;;;
364.06;93;72;60;68;;;;;
364.91;93;72;60;68;;;;;
365.72;93;72;60;68;;;;;
366.55;93;72;60;68;;;;;
367.42;93;72;60;68;;;;;
368.25;92;73;62;71;;;;;
369.05;92;73;62;71;;;;;
369.93;92;73;62;71;;;;;
370.78;92;73;62;71;;;;;
371.60;92;73;62;71;;;;;
372.42;91;72;61;72;;;;;
373.24;91;72;61;72;;;;;
374.11;91;72;61;72;;;;;
374.91;91;72;61;72;;;;;
375.79;91;72;61;72;;;;;
376.63;92;72;60;71;;;;;
377.46;92;72;60;71;;;;;
378.23;92;72;60;71;;;;;
379.05;92;72;60;71;;;;;
379.30;;;;;;;"Custom2";;
379.93;92;72;60;71;;;;;
380.83;89;69;57;69;;;;;
381.67;89;69;57;69;;;;;
382.51;89;69;57;69;;;;;
383.34;89;69;57;69;;;;;
384.19;89;69;57;69;;;;;
385.02;90;66;53;72;;;;;
385.86;90;66;53;72;;;;;
386.74;90;66;53;72;;;;;
387.60;90;66;53;72;;;;;
388.50;90;66;53;72;;;;;
389.42;90;66;54;67;;;;;
390.30;90;66;54;67;;;;;
391.20;90;66;54;67;;;;;
392.13;90;66;54;67;;;;;
393.07;90;66;54;67;;;;;
394.00;89;65;54;65;;;;;
394.94;89;65;54;65;;;;;
395.91;89;65;54;65;;;;;
396.87;89;65;54;65;;;;;
